Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
04/24/16,DROF_NOM,81,2.420,0.029,0.031,0.030,0.029
04/24/16,SAND_NOM,54,2.093,0.034,0.049,0.039,0.049
04/25/16,CLIN_NOM,161,148.201,0.920,0.929,0.921,0.920
04/25/16,DROF_NOM,100,3.560,0.035,0.036,0.036,0.036
04/25/16,SAND_NOM,1,0.036,0.036,0.036,0.036,0.036
04/26/16,CLIN_NOM,148,137.050,0.915,0.930,0.926,0.915
04/26/16,DROF_NOM,49,1.717,0.035,0.037,0.035,0.037
04/26/16,SAND_NOM,501,17.031,0.030,0.035,0.034,0.030
04/27/16,CLIN_NOM,167,155.188,0.915,0.930,0.929,0.929
04/27/16,DROF_NOM,100,3.370,0.030,0.036,0.034,0.030
04/27/16,SAND_NOM,232,6.884,0.002,0.034,0.030,0.013
04/28/16,CLIN_NOM,166,155.349,0.929,0.940,0.936,0.940
04/28/16,DROF_NOM,120,3.589,0.026,0.047,0.030,0.026
04/28/16,SAND_NOM,120,1.590,0.011,0.025,0.013,0.011
04/29/16,CLIN_NOM,5,4.615,0.921,0.924,0.923,0.924
04/29/16,DROF_NOM,0,0.000,0.000,0.000,,0.026
04/29/16,SAND_NOM,365,8.334,0.021,0.024,0.023,0.024
