Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
08/05/15,REP16_WTA,4,1.628,0.407,0.407,0.407,0.407
08/06/15,DEM16_WTA,20,11.900,0.595,0.595,0.595,0.595
08/06/15,REP16_WTA,81,32.899,0.405,0.408,0.406,0.408
08/07/15,DEM16_WTA,20,11.960,0.598,0.598,0.598,0.598
08/07/15,REP16_WTA,1,0.401,0.401,0.401,0.401,0.401
08/08/15,DEM16_WTA,150,90.072,0.599,0.605,0.600,0.605
08/08/15,REP16_WTA,0,0.000,0.000,0.000,,0.401
08/09/15,DEM16_WTA,0,0.000,0.000,0.000,,0.605
08/09/15,REP16_WTA,0,0.000,0.000,0.000,,0.401
08/10/15,DEM16_WTA,0,0.000,0.000,0.000,,0.605
08/10/15,REP16_WTA,63,25.642,0.404,0.410,0.407,0.410
08/11/15,DEM16_WTA,42,25.017,0.593,0.599,0.596,0.599
08/11/15,REP16_WTA,0,0.000,0.000,0.000,,0.410
08/12/15,DEM16_WTA,20,11.880,0.594,0.594,0.594,0.594
08/12/15,REP16_WTA,20,8.140,0.407,0.407,0.407,0.407
08/13/15,DEM16_WTA,0,0.000,0.000,0.000,,0.594
08/13/15,REP16_WTA,10,4.060,0.406,0.406,0.406,0.406
08/14/15,DEM16_WTA,0,0.000,0.000,0.000,,0.594
08/14/15,REP16_WTA,0,0.000,0.000,0.000,,0.406
08/15/15,DEM16_WTA,0,0.000,0.000,0.000,,0.594
08/15/15,REP16_WTA,1,0.405,0.405,0.405,0.405,0.405
08/16/15,DEM16_WTA,1,0.596,0.596,0.596,0.596,0.596
08/16/15,REP16_WTA,8,3.240,0.405,0.405,0.405,0.405
08/17/15,DEM16_WTA,0,0.000,0.000,0.000,,0.596
08/17/15,REP16_WTA,0,0.000,0.000,0.000,,0.405
08/18/15,DEM16_WTA,5,2.976,0.595,0.596,0.595,0.595
08/18/15,REP16_WTA,136,55.201,0.404,0.406,0.406,0.406
08/19/15,DEM16_WTA,52,30.949,0.593,0.597,0.595,0.594
08/19/15,REP16_WTA,30,12.180,0.406,0.406,0.406,0.406
08/20/15,DEM16_WTA,48,28.531,0.592,0.597,0.594,0.594
08/20/15,REP16_WTA,40,16.260,0.406,0.407,0.407,0.406
08/21/15,DEM16_WTA,0,0.000,0.000,0.000,,0.594
08/21/15,REP16_WTA,0,0.000,0.000,0.000,,0.406
08/22/15,DEM16_WTA,55,32.720,0.594,0.595,0.595,0.594
08/22/15,REP16_WTA,12,4.890,0.407,0.408,0.408,0.407
08/23/15,DEM16_WTA,1,0.594,0.594,0.594,0.594,0.594
08/23/15,REP16_WTA,1,0.406,0.406,0.406,0.406,0.406
08/24/15,DEM16_WTA,0,0.000,0.000,0.000,,0.594
08/24/15,REP16_WTA,20,8.120,0.406,0.406,0.406,0.406
08/25/15,DEM16_WTA,0,0.000,0.000,0.000,,0.594
08/25/15,REP16_WTA,0,0.000,0.000,0.000,,0.406
08/26/15,DEM16_WTA,3,1.779,0.593,0.593,0.593,0.593
