Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
04/01/16,CARS_NOM,10,0.010,0.001,0.001,0.001,0.001
04/01/16,CRUZ_NOM,404,105.666,0.255,0.281,0.262,0.265
04/01/16,RROF_NOM,578,121.069,0.168,0.500,0.209,0.298
04/01/16,RUBI_NOM,522,5.092,0.004,0.011,0.010,0.010
04/01/16,TRUM_NOM,22,11.631,0.526,0.539,0.529,0.526
04/02/16,CARS_NOM,32,0.032,0.001,0.001,0.001,0.001
04/02/16,CRUZ_NOM,130,32.448,0.230,0.255,0.250,0.255
04/02/16,RROF_NOM,5,1.025,0.205,0.205,0.205,0.205
04/02/16,RUBI_NOM,128,0.754,0.004,0.010,0.006,0.010
04/02/16,TRUM_NOM,40,20.350,0.500,0.527,0.509,0.500
04/03/16,CARS_NOM,30,0.060,0.002,0.002,0.002,0.002
04/03/16,CRUZ_NOM,159,38.439,0.233,0.281,0.242,0.281
04/03/16,RROF_NOM,95,25.994,0.208,0.280,0.274,0.280
04/03/16,RUBI_NOM,48,0.479,0.009,0.010,0.010,0.010
04/03/16,TRUM_NOM,71,32.598,0.450,0.480,0.459,0.450
04/04/16,CARS_NOM,0,0.000,0.000,0.000,,0.002
04/04/16,CRUZ_NOM,421,111.993,0.250,0.299,0.266,0.250
04/04/16,RROF_NOM,86,25.786,0.225,0.498,0.300,0.250
04/04/16,RUBI_NOM,0,0.000,0.000,0.000,,0.010
04/04/16,TRUM_NOM,199,87.728,0.410,0.461,0.441,0.451
04/05/16,CARS_NOM,35,0.070,0.002,0.002,0.002,0.002
04/05/16,CRUZ_NOM,43,11.499,0.244,0.300,0.267,0.300
04/05/16,RROF_NOM,192,53.005,0.255,0.290,0.276,0.285
04/05/16,RUBI_NOM,125,1.102,0.007,0.010,0.009,0.010
04/05/16,TRUM_NOM,494,215.485,0.399,0.466,0.436,0.399
04/06/16,CARS_NOM,49,0.083,0.001,0.002,0.002,0.001
04/06/16,CRUZ_NOM,"1,012",276.004,0.240,0.320,0.273,0.302
04/06/16,RROF_NOM,593,142.650,0.200,0.290,0.241,0.290
04/06/16,RUBI_NOM,166,1.838,0.010,0.019,0.011,0.017
04/06/16,TRUM_NOM,66,34.686,0.432,0.551,0.526,0.432
04/07/16,CARS_NOM,213,0.263,0.001,0.002,0.001,0.001
04/07/16,CRUZ_NOM,533,154.888,0.276,0.329,0.291,0.301
04/07/16,RROF_NOM,198,49.183,0.197,0.276,0.248,0.259
04/07/16,RUBI_NOM,184,1.674,0.007,0.016,0.009,0.009
04/07/16,TRUM_NOM,418,187.101,0.425,0.543,0.448,0.431
04/08/16,CARS_NOM,200,0.400,0.002,0.002,0.002,0.002
04/08/16,CRUZ_NOM,603,180.323,0.281,0.318,0.299,0.281
04/08/16,RROF_NOM,326,86.342,0.259,0.275,0.265,0.259
04/08/16,RUBI_NOM,131,1.400,0.010,0.014,0.011,0.014
04/08/16,TRUM_NOM,192,88.902,0.375,0.473,0.463,0.473
04/09/16,CARS_NOM,15,0.015,0.001,0.001,0.001,0.001
04/09/16,CRUZ_NOM,215,68.126,0.285,0.319,0.317,0.319
04/09/16,RROF_NOM,53,14.072,0.258,0.268,0.266,0.258
04/09/16,RUBI_NOM,78,1.090,0.011,0.015,0.014,0.011
04/09/16,TRUM_NOM,25,11.779,0.470,0.473,0.471,0.470
04/10/16,CARS_NOM,0,0.000,0.000,0.000,,0.001
04/10/16,CRUZ_NOM,1,0.318,0.318,0.318,0.318,0.318
04/10/16,RROF_NOM,317,83.046,0.260,0.263,0.262,0.260
04/10/16,RUBI_NOM,24,0.247,0.010,0.013,0.010,0.012
04/10/16,TRUM_NOM,0,0.000,0.000,0.000,,0.470
04/11/16,CARS_NOM,500,2.499,0.004,0.005,0.005,0.005
04/11/16,CRUZ_NOM,114,35.318,0.290,0.313,0.310,0.290
04/11/16,RROF_NOM,233,60.761,0.248,0.300,0.261,0.300
04/11/16,RUBI_NOM,0,0.000,0.000,0.000,,0.012
04/11/16,TRUM_NOM,30,12.272,0.409,0.410,0.409,0.409
04/12/16,CARS_NOM,73,0.291,0.003,0.004,0.004,0.004
04/12/16,CRUZ_NOM,709,226.123,0.285,0.330,0.319,0.330
04/12/16,RROF_NOM,172,39.970,0.229,0.234,0.232,0.230
04/12/16,RUBI_NOM,92,0.553,0.006,0.007,0.006,0.006
04/12/16,TRUM_NOM,101,47.760,0.469,0.473,0.473,0.473
04/13/16,CARS_NOM,0,0.000,0.000,0.000,,0.004
04/13/16,CRUZ_NOM,337,107.443,0.290,0.329,0.319,0.290
04/13/16,RROF_NOM,58,11.788,0.199,0.235,0.203,0.204
04/13/16,RUBI_NOM,21,0.207,0.008,0.010,0.010,0.010
04/13/16,TRUM_NOM,181,87.389,0.449,0.498,0.483,0.450
04/14/16,CARS_NOM,1,0.001,0.001,0.001,0.001,0.001
04/14/16,CRUZ_NOM,604,175.404,0.281,0.302,0.290,0.281
04/14/16,RROF_NOM,236,46.688,0.191,0.205,0.198,0.191
04/14/16,RUBI_NOM,0,0.000,0.000,0.000,,0.010
04/14/16,TRUM_NOM,0,0.000,0.000,0.000,,0.450
04/15/16,CARS_NOM,33,0.033,0.001,0.001,0.001,0.001
04/15/16,CRUZ_NOM,360,106.584,0.279,0.319,0.296,0.305
04/15/16,RROF_NOM,265,52.655,0.192,0.220,0.199,0.213
04/15/16,RUBI_NOM,748,5.239,0.007,0.009,0.007,0.009
04/15/16,TRUM_NOM,59,30.233,0.494,0.560,0.512,0.510
04/16/16,CARS_NOM,19,0.019,0.001,0.001,0.001,0.001
04/16/16,CRUZ_NOM,174,54.038,0.279,0.316,0.311,0.279
04/16/16,RROF_NOM,59,11.317,0.179,0.197,0.192,0.179
04/16/16,RUBI_NOM,19,0.134,0.007,0.008,0.007,0.007
04/16/16,TRUM_NOM,19,10.165,0.535,0.535,0.535,0.535
04/17/16,CARS_NOM,6,0.006,0.001,0.001,0.001,0.001
04/17/16,CRUZ_NOM,40,11.340,0.278,0.303,0.284,0.303
04/17/16,RROF_NOM,88,16.143,0.149,0.211,0.183,0.211
04/17/16,RUBI_NOM,184,2.759,0.014,0.015,0.015,0.015
04/17/16,TRUM_NOM,6,3.211,0.535,0.536,0.535,0.535
04/18/16,CARS_NOM,30,0.030,0.001,0.001,0.001,0.001
04/18/16,CRUZ_NOM,318,91.342,0.260,0.298,0.287,0.280
04/18/16,RROF_NOM,30,4.896,0.162,0.165,0.163,0.162
04/18/16,RUBI_NOM,10,0.090,0.009,0.009,0.009,0.009
04/18/16,TRUM_NOM,1,0.589,0.589,0.589,0.589,0.589
04/19/16,CARS_NOM,316,0.316,0.001,0.001,0.001,0.001
04/19/16,CRUZ_NOM,336,81.450,0.206,0.299,0.242,0.206
04/19/16,RROF_NOM,293,53.131,0.163,0.209,0.181,0.209
04/19/16,RUBI_NOM,546,4.339,0.007,0.100,0.008,0.100
04/19/16,TRUM_NOM,445,262.821,0.588,0.600,0.591,0.590
04/20/16,CARS_NOM,235,0.235,0.001,0.001,0.001,0.001
04/20/16,CRUZ_NOM,86,18.429,0.206,0.221,0.214,0.215
04/20/16,RROF_NOM,137,26.173,0.170,0.210,0.191,0.189
04/20/16,RUBI_NOM,510,22.104,0.010,0.050,0.043,0.050
04/20/16,TRUM_NOM,255,151.845,0.592,0.601,0.595,0.594
04/21/16,CARS_NOM,0,0.000,0.000,0.000,,0.001
04/21/16,CRUZ_NOM,36,7.860,0.210,0.220,0.218,0.220
04/21/16,RROF_NOM,137,24.939,0.171,0.200,0.182,0.200
04/21/16,RUBI_NOM,8,0.096,0.012,0.012,0.012,0.012
04/21/16,TRUM_NOM,85,54.411,0.630,0.647,0.640,0.647
